subproblem_id,balancing_type_horizon,horizon,boundary
1,day,20200101,linear
2,day,20200102,linear
3,day,20200103,linear
4,day,20200104,linear
5,day,20200105,linear
6,day,20200106,linear
7,day,20200107,linear
8,day,20200108,linear
9,day,20200109,linear
10,day,20200110,linear
11,day,20200111,linear
12,day,20200112,linear
13,day,20200113,linear
14,day,20200114,linear
15,day,20200115,linear
16,day,20200116,linear
17,day,20200117,linear
18,day,20200118,linear
19,day,20200119,linear
20,day,20200120,linear
21,day,20200121,linear
22,day,20200122,linear
23,day,20200123,linear
24,day,20200124,linear
25,day,20200125,linear
26,day,20200126,linear
27,day,20200127,linear
28,day,20200128,linear
29,day,20200129,linear
30,day,20200130,linear
31,day,20200131,linear
32,day,20200201,linear
33,day,20200202,linear
34,day,20200203,linear
35,day,20200204,linear
36,day,20200205,linear
37,day,20200206,linear
38,day,20200207,linear
39,day,20200208,linear
40,day,20200209,linear
41,day,20200210,linear
42,day,20200211,linear
43,day,20200212,linear
44,day,20200213,linear
45,day,20200214,linear
46,day,20200215,linear
47,day,20200216,linear
48,day,20200217,linear
49,day,20200218,linear
50,day,20200219,linear
51,day,20200220,linear
52,day,20200221,linear
53,day,20200222,linear
54,day,20200223,linear
55,day,20200224,linear
56,day,20200225,linear
57,day,20200226,linear
58,day,20200227,linear
59,day,20200228,linear
60,day,20200229,linear
61,day,20200301,linear
62,day,20200302,linear
63,day,20200303,linear
64,day,20200304,linear
65,day,20200305,linear
66,day,20200306,linear
67,day,20200307,linear
68,day,20200308,linear
69,day,20200309,linear
70,day,20200310,linear
71,day,20200311,linear
72,day,20200312,linear
73,day,20200313,linear
74,day,20200314,linear
75,day,20200315,linear
76,day,20200316,linear
77,day,20200317,linear
78,day,20200318,linear
79,day,20200319,linear
80,day,20200320,linear
81,day,20200321,linear
82,day,20200322,linear
83,day,20200323,linear
84,day,20200324,linear
85,day,20200325,linear
86,day,20200326,linear
87,day,20200327,linear
88,day,20200328,linear
89,day,20200329,linear
90,day,20200330,linear
91,day,20200331,linear
92,day,20200401,linear
93,day,20200402,linear
94,day,20200403,linear
95,day,20200404,linear
96,day,20200405,linear
97,day,20200406,linear
98,day,20200407,linear
99,day,20200408,linear
100,day,20200409,linear
101,day,20200410,linear
102,day,20200411,linear
103,day,20200412,linear
104,day,20200413,linear
